100	11	8	10510	18831	11431	222	
200	29	22	26542	49485	35551	1078		
300	79	45	49098	93061	74629	3157	
上面的忘记除deadlineFactor的个数了

100	0	0	561	1093	584	11	
200	1	1	1397	2590	1814	57	
300	3	2	2432	4510	3664	157	
400	7	3	3564	6693	6268	339	
500	11	4	4933	9552	9904	616	
600	19	7	6176	11901	14176	1069	
700	26	10	7439	13611	16869	1478（远程过，可能执行的慢了）	
700	27	10	7356	14206	19198	1763（无远程）
800	32	12	7230	16579	22564	2303	
900	48	16	9822	18609	30886	3798	
1000	61	21	10942	21495	39498	5662		
   .\dax\CyberShake_50.xml-deadlineFactor_1.500 mpcMapMy2_42的runtime：	0.057s
      .\dax\LIGO_1000.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	2.759s
      .\dax\LIGO_1000.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	2.823s
      .\dax\LIGO_1000.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	2.834s
      .\dax\LIGO_1000.xml-deadlineFactor_11.000 mpcMapMy2_42的runtime：	2.846s
        .\dax\LIGO_50.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\LIGO_50.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\LIGO_50.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\LIGO_50.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\LIGO_50.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.001s
        .\dax\LIGO_50.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\LIGO_50.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\LIGO_50.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\LIGO_50.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.001s
        .\dax\LIGO_50.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.001s
       .\dax\LIGO_100.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\LIGO_100.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\LIGO_100.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.006s
       .\dax\LIGO_100.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.006s
       .\dax\LIGO_100.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\LIGO_100.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.006s
       .\dax\LIGO_100.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\LIGO_100.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\LIGO_100.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\LIGO_100.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	0.005s
      .\dax\LIGO_1000.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	2.343s
      .\dax\LIGO_1000.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	2.37s
      .\dax\LIGO_1000.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	2.448s
      .\dax\LIGO_1000.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	2.375s
      .\dax\LIGO_1000.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	2.382s
      .\dax\LIGO_1000.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	2.392s
      .\dax\LIGO_1000.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	2.42s
      .\dax\LIGO_1000.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	2.365s
      .\dax\LIGO_1000.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	2.318s
      .\dax\LIGO_1000.xml-deadlineFactor_12.000 mpcMapMy2_42的runtime：	2.327s
        .\dax\LIGO_50.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\LIGO_50.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\LIGO_50.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\LIGO_50.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.001s
        .\dax\LIGO_50.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.001s
        .\dax\LIGO_50.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.003s
        .\dax\LIGO_50.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\LIGO_50.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\LIGO_50.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.003s
        .\dax\LIGO_50.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.002s
       .\dax\LIGO_100.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\LIGO_100.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.006s
       .\dax\LIGO_100.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.007s
       .\dax\LIGO_100.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.004s
       .\dax\LIGO_100.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.006s
       .\dax\LIGO_100.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.006s
       .\dax\LIGO_100.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.006s
       .\dax\LIGO_100.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.006s
       .\dax\LIGO_100.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\LIGO_100.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	0.006s
      .\dax\LIGO_1000.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	2.075s
      .\dax\LIGO_1000.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	2.051s
      .\dax\LIGO_1000.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	2.053s
      .\dax\LIGO_1000.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	2.054s
      .\dax\LIGO_1000.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	2.035s
      .\dax\LIGO_1000.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	2.033s
      .\dax\LIGO_1000.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	2.017s
      .\dax\LIGO_1000.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	2.027s
      .\dax\LIGO_1000.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	2.103s
      .\dax\LIGO_1000.xml-deadlineFactor_13.000 mpcMapMy2_42的runtime：	2.021s
        .\dax\LIGO_50.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\LIGO_50.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\LIGO_50.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	0.001s
        .\dax\LIGO_50.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\LIGO_50.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\LIGO_50.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	0.001s
        .\dax\LIGO_50.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	0.001s
        .\dax\LIGO_50.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\LIGO_50.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\LIGO_50.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	0.002s
       .\dax\LIGO_100.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\LIGO_100.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\LIGO_100.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\LIGO_100.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\LIGO_100.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\LIGO_100.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	0.006s
       .\dax\LIGO_100.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	0.006s
       .\dax\LIGO_100.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\LIGO_100.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	0.006s
       .\dax\LIGO_100.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	0.005s
      .\dax\LIGO_1000.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	2.68s
      .\dax\LIGO_1000.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	2.501s
      .\dax\LIGO_1000.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	2.521s
      .\dax\LIGO_1000.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	2.493s
      .\dax\LIGO_1000.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	2.521s
      .\dax\LIGO_1000.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	2.572s
      .\dax\LIGO_1000.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	2.548s
      .\dax\LIGO_1000.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	2.519s
      .\dax\LIGO_1000.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	2.458s
      .\dax\LIGO_1000.xml-deadlineFactor_14.000 mpcMapMy2_42的runtime：	2.421s
        .\dax\LIGO_50.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	0.001s
        .\dax\LIGO_50.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	0.001s
        .\dax\LIGO_50.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	0.001s
        .\dax\LIGO_50.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\LIGO_50.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\LIGO_50.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	0.001s
        .\dax\LIGO_50.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\LIGO_50.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\LIGO_50.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	0.001s
        .\dax\LIGO_50.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	0.001s
       .\dax\LIGO_100.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\LIGO_100.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	0.006s
       .\dax\LIGO_100.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\LIGO_100.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	0.004s
       .\dax\LIGO_100.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\LIGO_100.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\LIGO_100.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	0.007s
       .\dax\LIGO_100.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\LIGO_100.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	0.007s
       .\dax\LIGO_100.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	0.006s
      .\dax\LIGO_1000.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	2.103s
      .\dax\LIGO_1000.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	2.202s
      .\dax\LIGO_1000.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	2.17s
      .\dax\LIGO_1000.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	2.235s
      .\dax\LIGO_1000.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	2.211s
      .\dax\LIGO_1000.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	2.16s
      .\dax\LIGO_1000.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	2.143s
      .\dax\LIGO_1000.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	2.182s
      .\dax\LIGO_1000.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	2.151s
      .\dax\LIGO_1000.xml-deadlineFactor_15.000 mpcMapMy2_42的runtime：	2.334s
        .\dax\LIGO_50.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	0.001s
        .\dax\LIGO_50.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	0.001s
        .\dax\LIGO_50.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	0.003s
        .\dax\LIGO_50.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\LIGO_50.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\LIGO_50.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\LIGO_50.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\LIGO_50.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\LIGO_50.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\LIGO_50.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	0.002s
       .\dax\LIGO_100.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\LIGO_100.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	0.007s
       .\dax\LIGO_100.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	0.006s
       .\dax\LIGO_100.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	0.007s
       .\dax\LIGO_100.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\LIGO_100.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\LIGO_100.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	0.006s
       .\dax\LIGO_100.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	0.006s
       .\dax\LIGO_100.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	0.007s
       .\dax\LIGO_100.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	0.006s
      .\dax\LIGO_1000.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	3.177s
      .\dax\LIGO_1000.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	3.063s
      .\dax\LIGO_1000.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	3.315s
      .\dax\LIGO_1000.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	3.149s
      .\dax\LIGO_1000.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	3.16s
      .\dax\LIGO_1000.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	3.015s
      .\dax\LIGO_1000.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	3.119s
      .\dax\LIGO_1000.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	3.055s
      .\dax\LIGO_1000.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	3.074s
      .\dax\LIGO_1000.xml-deadlineFactor_16.000 mpcMapMy2_42的runtime：	3.087s
        .\dax\LIGO_50.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\LIGO_50.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	0.001s
        .\dax\LIGO_50.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	0.001s
        .\dax\LIGO_50.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\LIGO_50.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	0.003s
        .\dax\LIGO_50.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	0.001s
        .\dax\LIGO_50.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\LIGO_50.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	0.001s
        .\dax\LIGO_50.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	0.001s
        .\dax\LIGO_50.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	0.003s
       .\dax\LIGO_100.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	0.007s
       .\dax\LIGO_100.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	0.006s
       .\dax\LIGO_100.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	0.006s
       .\dax\LIGO_100.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	0.006s
       .\dax\LIGO_100.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\LIGO_100.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	0.006s
       .\dax\LIGO_100.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	0.007s
       .\dax\LIGO_100.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	0.006s
       .\dax\LIGO_100.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	0.007s
       .\dax\LIGO_100.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	0.005s
      .\dax\LIGO_1000.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	2.167s
      .\dax\LIGO_1000.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	2.136s
      .\dax\LIGO_1000.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	2.249s
      .\dax\LIGO_1000.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	2.163s
      .\dax\LIGO_1000.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	2.032s
      .\dax\LIGO_1000.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	2.098s
      .\dax\LIGO_1000.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	2.019s
      .\dax\LIGO_1000.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	2.071s
      .\dax\LIGO_1000.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	2.059s
      .\dax\LIGO_1000.xml-deadlineFactor_17.000 mpcMapMy2_42的runtime：	2.081s
        .\dax\LIGO_50.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	0.003s
        .\dax\LIGO_50.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\LIGO_50.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\LIGO_50.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\LIGO_50.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	0.001s
        .\dax\LIGO_50.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\LIGO_50.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	0.001s
        .\dax\LIGO_50.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	0.001s
        .\dax\LIGO_50.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	0.003s
        .\dax\LIGO_50.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	0.002s
       .\dax\LIGO_100.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	0.007s
       .\dax\LIGO_100.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\LIGO_100.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	0.006s
       .\dax\LIGO_100.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\LIGO_100.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	0.006s
       .\dax\LIGO_100.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	0.006s
       .\dax\LIGO_100.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	0.006s
       .\dax\LIGO_100.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	0.006s
       .\dax\LIGO_100.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	0.007s
       .\dax\LIGO_100.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	0.005s
      .\dax\LIGO_1000.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	1.914s
      .\dax\LIGO_1000.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	2.028s
      .\dax\LIGO_1000.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	2.001s
      .\dax\LIGO_1000.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	2.004s
      .\dax\LIGO_1000.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	1.939s
      .\dax\LIGO_1000.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	1.924s
      .\dax\LIGO_1000.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	1.9s
      .\dax\LIGO_1000.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	1.89s
      .\dax\LIGO_1000.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	1.903s
      .\dax\LIGO_1000.xml-deadlineFactor_18.000 mpcMapMy2_42的runtime：	1.929s
        .\dax\LIGO_50.xml-deadlineFactor_19.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\LIGO_50.xml-deadlineFactor_19.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\LIGO_50.xml-deadlineFactor_19.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\LIGO_50.xml-deadlineFactor_19.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\LIGO_50.xml-deadlineFactor_19.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\LIGO_50.xml-deadlineFactor_19.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\LIGO_50.xml-deadlineFactor_19.000 mpcMapMy2_42的runtime：	0.003s
        .\dax\LIGO_50.xml-deadlineFactor_19.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\LIGO_50.xml-deadlineFactor_19.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\LIGO_50.xml-deadlineFactor_19.000 mpcMapMy2_42的runtime：	0.004s
       .\dax\LIGO_100.xml-deadlineFactor_19.000 mpcMapMy2_42的runtime：	0.006s
       .\dax\LIGO_100.xml-deadlineFactor_19.000 mpcMapMy2_42的runtime：	0.006s
       .\dax\LIGO_100.xml-deadlineFactor_19.000 mpcMapMy2_42的runtime：	0.006s
       .\dax\LIGO_100.xml-deadlineFactor_19.000 mpcMapMy2_42的runtime：	0.006s
       .\dax\LIGO_100.xml-deadlineFactor_19.000 mpcMapMy2_42的runtime：	0.007s
       .\dax\LIGO_100.xml-deadlineFactor_19.000 mpcMapMy2_42的runtime：	0.007s
       .\dax\LIGO_100.xml-deadlineFactor_19.000 mpcMapMy2_42的runtime：	0.006s
       .\dax\LIGO_100.xml-deadlineFactor_19.000 mpcMapMy2_42的runtime：	0.009s
       .\dax\LIGO_100.xml-deadlineFactor_19.000 mpcMapMy2_42的runtime：	0.006s
       .\dax\LIGO_100.xml-deadlineFactor_19.000 mpcMapMy2_42的runtime：	0.006s
      .\dax\LIGO_1000.xml-deadlineFactor_19.000 mpcMapMy2_42的runtime：	2.2s
      .\dax\LIGO_1000.xml-deadlineFactor_19.000 mpcMapMy2_42的runtime：	2.176s
      .\dax\LIGO_1000.xml-deadlineFactor_19.000 mpcMapMy2_42的runtime：	2.204s
      .\dax\LIGO_1000.xml-deadlineFactor_19.000 mpcMapMy2_42的runtime：	2.225s
      .\dax\LIGO_1000.xml-deadlineFactor_19.000 mpcMapMy2_42的runtime：	2.212s
      .\dax\LIGO_1000.xml-deadlineFactor_19.000 mpcMapMy2_42的runtime：	2.153s
      .\dax\LIGO_1000.xml-deadlineFactor_19.000 mpcMapMy2_42的runtime：	2.177s
      .\dax\LIGO_1000.xml-deadlineFactor_19.000 mpcMapMy2_42的runtime：	2.155s
      .\dax\LIGO_1000.xml-deadlineFactor_19.000 mpcMapMy2_42的runtime：	2.15s
      .\dax\LIGO_1000.xml-deadlineFactor_19.000 mpcMapMy2_42的runtime：	2.191s
        .\dax\LIGO_50.xml-deadlineFactor_20.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\LIGO_50.xml-deadlineFactor_20.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\LIGO_50.xml-deadlineFactor_20.000 mpcMapMy2_42的runtime：	0.003s
        .\dax\LIGO_50.xml-deadlineFactor_20.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\LIGO_50.xml-deadlineFactor_20.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\LIGO_50.xml-deadlineFactor_20.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\LIGO_50.xml-deadlineFactor_20.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\LIGO_50.xml-deadlineFactor_20.000 mpcMapMy2_42的runtime：	0.001s
        .\dax\LIGO_50.xml-deadlineFactor_20.000 mpcMapMy2_42的runtime：	0.002s
        .\dax\LIGO_50.xml-deadlineFactor_20.000 mpcMapMy2_42的runtime：	0.002s
       .\dax\LIGO_100.xml-deadlineFactor_20.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\LIGO_100.xml-deadlineFactor_20.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\LIGO_100.xml-deadlineFactor_20.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\LIGO_100.xml-deadlineFactor_20.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\LIGO_100.xml-deadlineFactor_20.000 mpcMapMy2_42的runtime：	0.006s
       .\dax\LIGO_100.xml-deadlineFactor_20.000 mpcMapMy2_42的runtime：	0.006s
       .\dax\LIGO_100.xml-deadlineFactor_20.000 mpcMapMy2_42的runtime：	0.008s
       .\dax\LIGO_100.xml-deadlineFactor_20.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\LIGO_100.xml-deadlineFactor_20.000 mpcMapMy2_42的runtime：	0.005s
       .\dax\LIGO_100.xml-deadlineFactor_20.000 mpcMapMy2_42的runtime：	0.006s
      .\dax\LIGO_1000.xml-deadlineFactor_20.000 mpcMapMy2_42的runtime：	1.705s
      .\dax\LIGO_1000.xml-deadlineFactor_20.000 mpcMapMy2_42的runtime：	1.688s
      .\dax\LIGO_1000.xml-deadlineFactor_20.000 mpcMapMy2_42的runtime：	1.693s
      .\dax\LIGO_1000.xml-deadlineFactor_20.000 mpcMapMy2_42的runtime：	1.661s
      .\dax\LIGO_1000.xml-deadlineFactor_20.000 mpcMapMy2_42的runtime：	1.688s
      .\dax\LIGO_1000.xml-deadlineFactor_20.000 mpcMapMy2_42的runtime：	1.671s
      .\dax\LIGO_1000.xml-deadlineFactor_20.000 mpcMapMy2_42的runtime：	1.708s
      .\dax\LIGO_1000.xml-deadlineFactor_20.000 mpcMapMy2_42的runtime：	1.673s
      .\dax\LIGO_1000.xml-deadlineFactor_20.000 mpcMapMy2_42的runtime：	1.715s
      .\dax\LIGO_1000.xml-deadlineFactor_20.000 mpcMapMy2_42的runtime：	1.686s
      .\dax\Montage_50.xml-deadlineFactor_1.500 mpcMapMy2_42的runtime：	0.002s
      .\dax\Montage_50.xml-deadlineFactor_1.500 mpcMapMy2_42的runtime：	0.003s
